ticker,entry_date,entry_price,exit_date,exit_price,qty,cost,proceeds,pnl,reason,target,stop_loss
BPCL.NS,2024-07-26,292.05,2024-09-13,323.95,99,28912.95,32071.05,3158.0999999999985,STOP_LOSS,355.39,325.78
TCS.NS,2024-08-16,4171.97,2024-09-20,4130.79,10,41719.700000000004,41307.9,-411.8000000000029,STOP_LOSS,4545.82,4273.08
POLICYBZR.NS,2024-05-17,1260.7,2024-09-27,1640.8,27,34038.9,44301.6,10262.699999999997,STOP_LOSS,2057.2,1837.14
LTIM.NS,2024-08-23,5417.45,2024-09-27,6037.02,6,32504.699999999997,36222.12,3717.4200000000055,STOP_LOSS,6602.74,6094.99
VBL.NS,2024-09-13,621.2,2024-09-27,606.82,60,37272.0,36409.200000000004,-862.7999999999956,STOP_LOSS,706.38,612.25
ASIANPAINT.NS,2024-05-24,2738.87,2024-10-04,3034.47,9,24649.829999999998,27310.23,2660.4000000000015,STOP_LOSS,3427.71,3233.06
HDFCBANK.NS,2024-05-24,735.92,2024-10-04,817.77,33,24285.359999999997,26986.41,2701.050000000003,STOP_LOSS,887.64,847.39
SBILIFE.NS,2024-06-14,1421.79,2024-10-04,1794.68,9,12796.11,16152.12,3356.01,STOP_LOSS,1971.69,1833.45
ITC.NS,2024-07-05,398.47,2024-10-04,468.71,65,25900.550000000003,30466.149999999998,4565.599999999995,STOP_LOSS,500.35,476.16
HINDUNILVR.NS,2024-07-05,2430.93,2024-10-04,2764.94,10,24309.3,27649.4,3340.100000000002,STOP_LOSS,3010.54,2799.6
TATACONSUM.NS,2024-07-05,1107.67,2024-10-04,1122.08,23,25476.410000000003,25807.839999999997,331.429999999993,STOP_LOSS,1261.27,1162.31
BAJAJ-AUTO.NS,2024-08-02,9130.57,2024-10-04,11483.37,3,27391.71,34450.11,7058.4000000000015,STOP_LOSS,12888.23,11952.14
ICICIBANK.NS,2024-08-23,1173.59,2024-10-04,1230.26,28,32860.52,34447.28,1586.760000000002,STOP_LOSS,1378.27,1290.65
