NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-06 19:04:20

BUY SIGNALS (841):
  SUDEEPPHRM.NS   | Price:  754.50 | Entry:  739.41 | Target:  949.07 | Risk: LOW       
  THANGAMAYL.NS   | Price: 5351.90 | Entry: 5244.86 | Target: 6627.22 | Risk: LOW       
  AKUMS.NS        | Price:  553.80 | Entry:  542.72 | Target:  640.37 | Risk: LOW       
  AJAXENGG.NS     | Price:  601.75 | Entry:  589.72 | Target:  688.71 | Risk: LOW       
  FDC.NS          | Price:  381.00 | Entry:  373.38 | Target:  483.73 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   72.69 | Entry:   71.24 | Target:   88.44 | Risk: LOW       
  TMB.NS          | Price:  745.90 | Entry:  730.98 | Target:  864.38 | Risk: LOW       
  TIPSMUSIC.NS    | Price:  690.95 | Entry:  677.13 | Target:  828.08 | Risk: LOW       
  ATLANTAELE.NS   | Price: 2044.00 | Entry: 2003.12 | Target: 2515.71 | Risk: LOW       
  V2RETAIL.NS     | Price:  247.99 | Entry:  243.03 | Target:  302.54 | Risk: LOW       
  MASTEK.NS       | Price: 1660.10 | Entry:  1626.9 | Target: 1982.89 | Risk: LOW       
  GANESHHOU.NS    | Price:  780.75 | Entry:  765.13 | Target:  934.57 | Risk: LOW       
  RTNINDIA.NS     | Price:   39.13 | Entry:   38.35 | Target:   47.43 | Risk: LOW       
  WELENT.NS       | Price:  541.40 | Entry:  530.57 | Target:  623.88 | Risk: LOW       
  RATEGAIN.NS     | Price:  758.70 | Entry:  743.53 | Target:  935.88 | Risk: LOW       
  MIDHANI.NS      | Price:  435.55 | Entry:  426.84 | Target:  531.35 | Risk: LOW       
  THYROCARE.NS    | Price:  518.00 | Entry:  507.64 | Target:  604.04 | Risk: LOW       
  ARVINDFASN.NS   | Price:  469.30 | Entry:  459.91 | Target:  540.10 | Risk: LOW       
  EQUITASBNK.NS   | Price:   73.95 | Entry:   72.47 | Target:   85.28 | Risk: LOW       
  PGIL.NS         | Price: 1665.60 | Entry: 1632.29 | Target: 1933.64 | Risk: LOW       
  CUPID.NS        | Price:  137.10 | Entry:  134.36 | Target:  158.48 | Risk: LOW       
  IFBIND.NS       | Price: 1255.70 | Entry: 1230.59 | Target: 1596.95 | Risk: LOW       
  PARKHOSPS.NS    | Price:  281.75 | Entry:  276.12 | Target:  336.85 | Risk: LOW       
  AVALON.NS       | Price: 1607.90 | Entry: 1575.74 | Target: 2095.94 | Risk: LOW       
  SURYAROSNI.NS   | Price:  258.17 | Entry:  253.01 | Target:  327.50 | Risk: LOW       
  HNDFDS.NS       | Price:  530.25 | Entry:  519.64 | Target:  617.52 | Risk: LOW       
  UTLSOLAR.NS     | Price:  328.30 | Entry:  321.73 | Target:  412.60 | Risk: LOW       
  AVL.NS          | Price:  551.20 | Entry:  540.18 | Target:  637.65 | Risk: LOW       
  RTNPOWER.NS     | Price:    9.74 | Entry:    9.55 | Target:   11.47 | Risk: LOW       
  SUPRAJIT.NS     | Price:  475.75 | Entry:  466.24 | Target:  563.09 | Risk: LOW       
  VMART.NS        | Price:  665.55 | Entry:  652.24 | Target:  757.78 | Risk: LOW       
  ASHAPURMIN.NS   | Price:  702.75 | Entry:  688.69 | Target:  895.14 | Risk: LOW       
  SWSOLAR.NS      | Price:  203.67 | Entry:   199.6 | Target:  241.71 | Risk: LOW       
  VIPIND.NS       | Price:  329.85 | Entry:  323.25 | Target:  399.15 | Risk: LOW       
  IMFA.NS         | Price: 1499.00 | Entry: 1469.02 | Target: 1851.57 | Risk: LOW       
  SUPRIYA.NS      | Price:  947.95 | Entry:  928.99 | Target: 1251.83 | Risk: LOW       
