date,buy_signals,hold_signals,sell_signals,capital,unrealized_pnl,realized_pnl,total_pnl,total_value,return_percent,positions_count
2021-12-10,14,27,4,1380329.16,66094.84,2219786.43,2285881.27,1446424.0,228.59,16
2021-12-17,8,24,13,1943258.03,35194.77,2198936.01,2234130.78,1978452.8,223.41,11
2021-12-24,7,9,29,1846402.27,57923.8,2198936.01,2256859.81,1904326.07,225.69,12
2021-12-31,16,28,1,1324314.31,100449.85,2205652.93,2306102.78,1424764.16,230.61,17
2022-01-07,24,21,0,324889.02,85131.48,2261179.27,2346310.75,410020.5,234.63,28
2022-01-14,30,14,1,352487.07,105819.74,2297617.39,2403437.13,458306.81,240.34,35
2022-01-21,7,19,19,1576729.51,51864.21,2258560.99,2310425.2,1628593.72,231.04,20
2022-01-28,8,12,26,2056002.33,40463.25,2256686.37,2297149.62,2096465.58,229.71,13
2022-02-04,12,21,13,1588722.15,64796.14,2259891.67,2324687.81,1653518.29,232.47,17
2022-02-11,9,22,15,1443332.06,76543.06,2254375.58,2330918.64,1519875.12,233.09,18
2022-02-18,8,29,9,1493146.78,54461.53,2247942.95,2302404.48,1547608.31,230.24,18
2022-02-25,2,23,21,2247013.84,13155.34,2233168.76,2246324.1,2260169.18,224.63,10
2022-03-04,6,9,31,1962691.96,38267.42,2225426.96,2263694.38,2000959.38,226.37,10
2022-03-11,12,17,17,1518940.25,56701.13,2265458.38,2322159.51,1575641.38,232.22,14
2022-03-17,19,27,0,916023.0,90583.62,2265458.38,2356042.0,1006606.62,235.6,22
2022-03-25,19,24,3,743930.12,118792.59,2262787.48,2381580.07,862722.71,238.16,26
2022-04-01,24,19,3,509151.58,132374.73,2318074.87,2450449.6,641526.31,245.04,33
2022-04-08,32,13,1,374782.62,148227.19,2369928.42,2518155.61,523009.81,251.82,41
2022-04-13,22,16,8,754603.18,124505.55,2364380.93,2488886.48,879108.73,248.89,35
2022-04-22,16,18,12,1279887.12,77282.23,2416228.04,2493510.27,1357169.35,249.35,29
2022-04-29,11,20,15,1276206.45,70062.38,2398159.07,2468221.45,1346268.83,246.82,28
2022-05-06,5,11,30,2390542.6,26272.41,2374080.66,2400353.07,2416815.01,240.04,13
2022-05-13,1,10,35,2645928.07,24132.24,2353068.66,2377200.9,2670060.31,237.72,8
2022-05-20,13,15,18,1408570.19,73325.15,2362694.54,2436019.69,1481895.34,243.6,16
2022-05-27,14,14,18,1214370.27,92278.18,2369401.31,2461679.49,1306648.45,246.17,19
2022-06-03,10,25,11,1723585.05,72994.34,2388125.7,2461120.04,1796579.39,246.11,15
2022-06-10,6,15,25,1851362.71,64553.21,2389169.68,2453722.89,1915915.92,245.37,14
2022-06-17,1,5,40,2738518.14,21145.61,2358430.36,2379575.97,2759663.75,237.96,5
2022-06-24,8,19,19,2057170.1,55777.89,2388430.08,2444207.97,2112947.99,244.42,9
2022-07-01,13,30,3,1656833.97,77244.87,2398410.9,2475655.77,1734078.84,247.57,13
2022-07-08,22,18,6,752924.74,144302.52,2442970.93,2587273.45,897227.26,258.73,23
2022-07-15,27,11,8,579369.15,180732.86,2434715.8,2615448.66,760102.01,261.54,29
2022-07-22,30,13,3,562372.1,213592.4,2503746.13,2717338.53,775964.5,271.73,33
2022-07-29,34,10,2,549657.8,216523.13,2592460.29,2808983.42,766180.93,280.9,37
2022-08-05,33,11,2,798792.14,162491.57,2717039.4,2879530.97,961283.71,287.95,37
2022-08-12,30,15,1,701742.44,168288.26,2739906.21,2908194.47,870030.7,290.82,40
2022-08-19,22,23,1,836851.07,153942.81,2796485.21,2950428.02,990793.88,295.04,41
2022-08-26,18,24,4,1122651.55,123843.31,2810888.22,2934731.53,1246494.86,293.47,37
2022-09-02,13,27,6,1321019.25,112654.93,2843244.77,2955899.7,1433674.18,295.59,35
2022-09-09,28,17,1,1130309.59,131546.08,2885145.96,3016692.04,1261855.67,301.67,34
2022-09-16,12,19,15,1619781.92,107865.3,2882859.24,2990724.54,1727647.22,299.07,29
2022-09-23,7,19,20,1917943.44,94390.96,2889553.15,2983944.11,2012334.4,298.39,23
2022-09-30,9,16,21,2268036.67,59433.89,2893439.44,2952873.33,2327470.56,295.29,17
2022-10-07,11,21,14,1845658.88,70178.54,2907047.7,2977226.24,1915837.42,297.72,18
2022-10-14,8,22,16,2062272.23,48406.64,2908221.22,2956627.86,2110678.87,295.66,16
2022-10-21,13,22,11,1505614.35,79380.48,2914977.22,2994357.7,1584994.83,299.44,21
2022-10-28,25,16,5,767288.36,107813.2,2937543.6,3045356.8,875101.56,304.54,29
2022-11-04,30,15,1,542947.36,128666.69,2974525.02,3103191.71,671614.05,310.32,36
2022-11-11,22,21,3,1082253.69,102891.94,3016253.13,3119145.07,1185145.63,311.91,31
2022-11-18,15,18,13,1428254.81,70578.7,3026448.55,3097027.25,1498833.51,309.7,29
2022-11-25,19,20,7,1364890.25,103496.43,3039391.88,3142888.31,1468386.68,314.29,30
2022-12-02,29,16,1,790241.04,131326.52,3089888.1,3221214.62,921567.56,322.12,35
2022-12-09,16,21,9,1464054.58,98529.57,3080109.24,3178638.81,1562584.15,317.86,27
2022-12-16,6,19,21,2020325.96,56723.87,3105717.23,3162441.1,2077049.83,316.24,21
2022-12-23,1,15,30,3134644.29,8717.21,3087371.5,3096088.71,3143361.5,309.61,9
2022-12-30,2,22,22,3200082.39,4475.51,3100688.6,3105164.11,3204557.9,310.52,7
2023-01-06,6,25,15,2498773.03,31807.41,3092668.51,3124475.92,2530580.44,312.45,10
2023-01-13,12,16,18,1564772.36,61601.78,3094592.12,3156193.9,1626374.14,315.62,17
2023-01-20,12,13,21,1613095.23,64897.36,3116631.88,3181529.24,1677992.59,318.15,18
2023-01-27,10,18,18,1955157.73,50966.48,3104010.66,3154977.14,2006124.21,315.5,16
2023-02-03,12,14,20,1735132.7,55925.84,3129890.93,3185816.77,1791058.54,318.58,18
2023-02-10,13,25,8,1601516.45,65629.06,3118848.17,3184477.23,1667145.51,318.45,20
2023-02-17,13,26,7,1304473.89,69130.16,3130335.15,3199465.31,1373604.05,319.95,24
2023-02-24,8,17,21,2165538.25,50968.74,3136688.82,3187657.56,2216506.99,318.77,17
2023-03-03,9,14,23,2130987.36,67475.13,3128222.4,3195697.53,2198462.49,319.57,17
2023-03-10,8,22,16,2122080.08,58199.02,3148021.15,3206220.17,2180279.1,320.62,17
2023-03-17,10,20,16,1817301.42,69311.52,3145406.24,3214717.76,1886612.94,321.47,19
2023-03-24,7,24,15,2031572.84,32914.78,3144072.32,3176987.1,2064487.62,317.7,17
2023-03-31,14,23,9,1383054.54,65191.64,3170584.34,3235775.98,1448246.18,323.58,23
2023-04-06,19,26,1,1215271.05,86144.59,3180352.15,3266496.74,1301415.64,326.65,26
2023-04-13,28,18,0,760137.4,107563.85,3209854.15,3317418.0,867701.25,331.74,33
2023-04-21,18,19,9,1109366.55,72733.66,3208070.0,3280803.66,1182100.21,328.08,32
2023-04-28,24,20,2,948218.66,112601.99,3267947.6,3380549.59,1060820.65,338.05,32
2023-05-05,31,13,2,808775.97,127029.41,3281249.79,3408279.2,935805.38,340.83,36
2023-05-12,29,14,3,755747.8,131797.88,3326417.16,3458215.04,887545.68,345.82,37
2023-05-19,15,23,8,1217739.32,91934.4,3345621.42,3437555.82,1309673.72,343.76,33
2023-05-26,18,26,2,912652.95,105414.72,3429305.99,3534720.71,1018067.67,353.47,33
2023-06-02,25,17,4,882822.6,112279.71,3456531.14,3568810.85,995102.31,356.88,35
2023-06-09,19,20,7,1317078.24,88521.42,3470150.25,3558671.67,1405599.66,355.87,31
2023-06-16,24,18,4,715487.92,114376.16,3550987.0,3665363.16,829864.08,366.54,32
2023-06-23,20,19,7,1360876.23,62864.98,3547204.25,3610069.23,1423741.21,361.01,28
2023-06-30,24,20,2,707724.12,116901.58,3623321.24,3740222.82,824625.7,374.02,31
2023-07-07,39,6,1,117868.75,128068.29,3676792.8,3804861.09,245937.04,380.49,40
2023-07-14,27,17,2,751263.22,144674.4,3727423.13,3872097.53,895937.62,387.21,38
2023-07-21,26,17,3,923059.38,146750.69,3763885.18,3910635.87,1069810.07,391.06,38
2023-07-28,20,19,7,1226919.91,94889.78,3887490.73,3982380.51,1321809.69,398.24,32
2023-08-04,20,15,11,1482462.55,87193.11,3870597.8,3957790.91,1569655.66,395.78,30
2023-08-11,13,19,14,1859778.72,124050.84,3879633.91,4003684.75,1983829.56,400.37,27
2023-08-18,12,25,9,2232785.85,110623.18,3893459.08,4004082.26,2343409.03,400.41,24
2023-08-25,6,35,5,2144620.94,81438.75,3912498.54,3993937.29,2226059.69,399.39,24
2023-09-01,18,23,5,1476550.86,90790.72,3987170.51,4077961.23,1567341.58,407.8,26
2023-09-08,29,16,1,814831.75,136375.83,4083193.86,4219569.69,951207.58,421.96,31
2023-09-15,31,13,2,535211.65,158443.33,4138143.99,4296587.32,693654.98,429.66,38
2023-09-22,14,23,9,1559934.94,92132.6,4127274.68,4219407.28,1652067.54,421.94,29
2023-09-29,6,30,10,2345809.02,90784.89,4143226.06,4234010.95,2436593.91,423.4,23
2023-10-06,9,29,8,2568351.46,67217.54,4142842.5,4210060.04,2635569.0,421.01,21
2023-10-13,17,22,7,1803719.23,95305.61,4164108.12,4259413.73,1899024.84,425.94,25
2023-10-20,20,19,7,1496262.04,101666.91,4165935.39,4267602.3,1597928.95,426.76,28
2023-10-27,5,13,28,3024017.06,54390.3,4123511.18,4177901.48,3078407.36,417.79,16
2023-11-03,6,23,17,2959025.35,81523.01,4124300.2,4205823.21,3040548.36,420.58,15
2023-11-10,20,25,1,839036.48,106615.92,4195844.86,4302460.78,945652.4,430.25,24
2023-11-17,33,10,3,399713.75,171645.55,4277039.23,4448684.78,571359.3,444.87,34
2023-11-24,26,18,2,801671.36,153038.9,4310422.43,4463461.33,954710.26,446.35,36
2023-12-01,36,10,0,23221.16,184161.16,4480897.47,4665058.63,207382.32,466.51,42
2023-12-08,41,5,0,134960.45,178739.72,4681430.75,4860170.47,313700.17,486.02,45
2023-12-15,30,15,1,767009.33,216965.77,4795436.14,5012401.91,983975.1,501.24,43
2023-12-22,28,17,1,1534851.17,143886.28,4914577.64,5058463.92,1678737.45,505.85,39
2023-12-29,29,17,0,1340819.19,205134.14,4996317.51,5201451.65,1545953.33,520.15,40
2024-01-05,29,16,1,1710949.52,189501.61,5052905.96,5242407.57,1900451.13,524.24,37
2024-01-12,17,27,2,2286579.39,202147.01,5079673.25,5281820.26,2488726.4,528.18,30
2024-01-19,25,13,8,1694688.7,225110.54,5133950.9,5359061.44,1919799.24,535.91,33
2024-01-25,22,12,12,2001660.85,197995.42,5161444.79,5359440.21,2199656.27,535.94,31
2024-02-02,29,9,8,1364722.22,235045.35,5375621.98,5610667.33,1599767.57,561.07,31
2024-02-09,22,16,8,1630817.69,203582.24,5528486.0,5732068.24,1834399.93,573.21,32
2024-02-16,20,20,6,1964632.63,273930.6,5602090.24,5876020.84,2238563.23,587.6,31
2024-02-23,27,17,2,1830323.9,294281.68,5655085.51,5949367.19,2124605.58,594.94,33
2024-03-01,19,21,6,2124231.58,320019.76,5657741.37,5977761.13,2444251.34,597.78,31
2024-03-07,22,15,9,2186331.1,331369.46,5691014.04,6022383.5,2517700.56,602.24,31
2024-03-15,8,28,10,3928933.49,145268.96,5738745.47,5884014.43,4074202.45,588.4,17
2024-03-22,9,25,12,3553563.24,146209.27,5770308.06,5916517.33,3699772.51,591.65,17
2024-03-28,23,12,11,1075134.01,243007.5,5770308.06,6013315.56,1318141.51,601.33,31
2024-04-05,25,15,6,1222580.17,247864.33,5836299.03,6084163.36,1470444.5,608.42,33
2024-04-12,14,22,10,1935451.17,227566.58,5867355.83,6094922.41,2163017.75,609.49,29
2024-04-19,8,16,22,3092845.42,179756.21,5861524.05,6041280.26,3272601.63,604.13,22
2024-04-26,15,20,11,2959697.38,242906.51,5898361.86,6141268.37,3202603.89,614.13,22
2024-05-03,22,20,4,1896737.31,224134.87,5995697.24,6219832.11,2120872.18,621.98,28
2024-05-10,9,21,16,3288832.06,118839.87,6000732.43,6119572.3,3407671.93,611.96,19
2024-05-17,17,21,8,2353708.9,196933.67,6047940.73,6244874.4,2550642.57,624.49,24
2024-05-24,29,15,2,1516301.57,282054.84,6102553.92,6384608.76,1798356.41,638.46,31
2024-05-31,12,19,15,3048314.44,145284.6,6117527.72,6262812.32,3193599.04,626.28,23
2024-06-07,28,14,4,260351.54,261467.87,6249215.12,6510682.99,521819.41,651.07,34
2024-06-14,30,15,1,517084.66,312370.88,6301153.09,6613523.97,829455.54,661.35,39
2024-06-21,18,22,6,1118329.06,269848.1,6303933.33,6573781.43,1388177.16,657.38,36
2024-06-28,22,22,2,1673088.75,344334.26,6339771.66,6684105.92,2017423.01,668.41,34
2024-07-05,33,12,1,1325180.89,402501.19,6404900.64,6807401.83,1727682.08,680.74,40
2024-07-12,31,13,2,1652205.67,439405.38,6470293.39,6909698.77,2091611.05,690.97,40
2024-07-19,21,21,4,2283179.61,352040.34,6554948.1,6906988.44,2635219.95,690.7,36
2024-07-26,26,16,4,1528244.15,352182.57,6774113.61,7126296.18,1880426.72,712.63,31
2024-08-02,24,17,5,1918668.71,267114.83,6881835.04,7148949.87,2185783.54,714.89,31
2024-08-09,11,21,14,2455573.44,215715.1,6870973.74,7086688.84,2671288.54,708.67,28
2024-08-16,14,22,10,2289821.07,152631.3,7025598.47,7178229.77,2442452.37,717.82,29
2024-08-23,24,20,2,1525473.38,183104.47,7140875.45,7323979.92,1708577.85,732.4,35
2024-08-30,29,17,0,1114827.47,229795.33,7281406.82,7511202.15,1344622.8,751.12,39
2024-09-06,14,17,15,2703775.84,166156.62,7269321.78,7435478.4,2869932.46,743.55,30
2024-09-13,20,17,9,2019515.05,261057.9,7389988.32,7651046.22,2280572.95,765.1,30
2024-09-20,28,11,7,1392772.52,261091.56,7494819.57,7755911.13,1653864.08,775.59,35
2024-09-27,28,15,3,1622634.23,247095.41,7617836.07,7864931.48,1869729.64,786.49,36
2024-10-04,7,30,9,5373717.41,85146.82,7525425.35,7610572.17,5458864.23,761.06,15
2024-10-11,6,16,24,5337988.87,87125.32,7568755.18,7655880.5,5425114.19,765.59,14
2024-10-18,11,16,19,4569495.2,96323.38,7548509.55,7644832.93,4665818.58,764.48,15
2024-10-25,3,7,36,6209669.47,45522.76,7499252.66,7544775.42,6255192.23,754.48,8
2024-11-01,3,15,28,6047137.06,39846.9,7502797.46,7542644.36,6086983.96,754.26,8
2024-11-08,7,21,18,5402732.71,75517.02,7482705.5,7558222.52,5478249.73,755.82,10
