NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-01 20:19:45

BUY SIGNALS (941):
  KRBL.NS         | Price:  350.20 | Entry:   343.2 | Target:  427.34 | Risk: LOW       
  VARROC.NS       | Price:  565.40 | Entry:  554.09 | Target:  657.70 | Risk: LOW       
  SANSERA.NS      | Price: 2861.00 | Entry: 2803.78 | Target: 3442.57 | Risk: LOW       
  LATENTVIEW.NS   | Price:  322.55 | Entry:   316.1 | Target:  396.34 | Risk: LOW       
  WABAG.NS        | Price: 1527.80 | Entry: 1497.24 | Target: 1786.30 | Risk: LOW       
  TI.NS           | Price:  455.35 | Entry:  446.24 | Target:  532.37 | Risk: LOW       
  TTKPRESTIG.NS   | Price:  539.50 | Entry:  528.71 | Target:  687.54 | Risk: LOW       
  MARKSANS.NS     | Price:  246.19 | Entry:  241.27 | Target:  308.40 | Risk: LOW       
  BBOX.NS         | Price: 1037.15 | Entry: 1016.41 | Target: 1313.79 | Risk: LOW       
  POWERMECH.NS    | Price: 2500.70 | Entry: 2450.69 | Target: 3003.34 | Risk: LOW       
  SOUTHBANK.NS    | Price:   41.42 | Entry:   40.59 | Target:   47.12 | Risk: LOW       
  SAREGAMA.NS     | Price:  424.15 | Entry:  415.67 | Target:  545.26 | Risk: LOW       
  PCJEWELLER.NS   | Price:    9.60 | Entry:    9.41 | Target:   11.50 | Risk: LOW       
  LUMAXTECH.NS    | Price: 1724.80 | Entry:  1690.3 | Target: 2044.87 | Risk: LOW       
  TANLA.NS        | Price:  525.40 | Entry:  514.89 | Target:  618.58 | Risk: LOW       
  MANORAMA.NS     | Price: 1426.40 | Entry: 1397.87 | Target: 1773.29 | Risk: LOW       
  ARVIND.NS       | Price:  473.35 | Entry:  463.88 | Target:  561.49 | Risk: LOW       
  APOLLO.NS       | Price:  409.00 | Entry:  400.82 | Target:  536.00 | Risk: LOW       
  CAMPUS.NS       | Price:  253.20 | Entry:  248.14 | Target:  298.10 | Risk: LOW       
  RELIGARE.NS     | Price:  237.55 | Entry:   232.8 | Target:  278.52 | Risk: LOW       
  WEWORK.NS       | Price:  600.80 | Entry:  588.78 | Target:  769.05 | Risk: LOW       
  RCF.NS          | Price:  128.47 | Entry:   125.9 | Target:  150.74 | Risk: LOW       
  GPPL.NS         | Price:  157.35 | Entry:   154.2 | Target:  179.44 | Risk: LOW       
