NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-10 19:33:43

BUY SIGNALS (696):
  CERA.NS         | Price: 5835.00 | Entry:  5718.3 | Target: 6754.64 | Risk: LOW       
  BORORENEW.NS    | Price:  525.05 | Entry:  514.55 | Target:  621.37 | Risk: LOW       
  GARFIBRES.NS    | Price:  688.30 | Entry:  674.53 | Target:  789.85 | Risk: LOW       
  SHILPAMED.NS    | Price:  569.15 | Entry:  557.77 | Target:  699.10 | Risk: LOW       
  THOMASCOOK.NS   | Price:  112.84 | Entry:  110.58 | Target:  136.75 | Risk: LOW       
  SUDEEPPHRM.NS   | Price:  741.60 | Entry:  726.77 | Target:  952.22 | Risk: LOW       
  THANGAMAYL.NS   | Price: 5469.50 | Entry: 5360.11 | Target: 6860.39 | Risk: LOW       
  AKUMS.NS        | Price:  548.25 | Entry:  537.28 | Target:  636.75 | Risk: LOW       
  TMB.NS          | Price:  780.55 | Entry:  764.94 | Target:  915.14 | Risk: LOW       
  TIPSMUSIC.NS    | Price:  673.25 | Entry:  659.78 | Target:  815.38 | Risk: LOW       
  ATLANTAELE.NS   | Price: 1890.70 | Entry: 1852.89 | Target: 2372.84 | Risk: LOW       
  SFL.NS          | Price:  680.90 | Entry:  667.28 | Target:  809.86 | Risk: LOW       
  GANESHHOU.NS    | Price:  769.80 | Entry:   754.4 | Target:  936.78 | Risk: LOW       
  RTNINDIA.NS     | Price:   37.37 | Entry:   36.62 | Target:   46.17 | Risk: LOW       
  WELENT.NS       | Price:  540.60 | Entry:  529.79 | Target:  626.05 | Risk: LOW       
  RAYMONDLSL.NS   | Price:  780.60 | Entry:  764.99 | Target:  934.81 | Risk: LOW       
  RATEGAIN.NS     | Price:  750.50 | Entry:  735.49 | Target:  922.75 | Risk: LOW       
  MIDHANI.NS      | Price:  450.35 | Entry:  441.34 | Target:  551.74 | Risk: LOW       
  KTKBANK.NS      | Price:  270.60 | Entry:  265.19 | Target:  319.67 | Risk: LOW       
  YATHARTH.NS     | Price:  839.10 | Entry:  822.32 | Target:  992.10 | Risk: LOW       
  THYROCARE.NS    | Price:  547.95 | Entry:  536.99 | Target:  653.38 | Risk: LOW       
  EQUITASBNK.NS   | Price:   74.98 | Entry:   73.48 | Target:   86.74 | Risk: LOW       
  ELLEN.NS        | Price:  268.85 | Entry:  263.47 | Target:  336.49 | Risk: LOW       
  PGIL.NS         | Price: 1685.50 | Entry: 1651.79 | Target: 1980.32 | Risk: LOW       
  CUPID.NS        | Price:  145.86 | Entry:  142.94 | Target:  165.66 | Risk: LOW       
  IFBIND.NS       | Price: 1286.00 | Entry: 1260.28 | Target: 1630.29 | Risk: LOW       
  PARKHOSPS.NS    | Price:  292.50 | Entry:  286.65 | Target:  350.70 | Risk: LOW       
  AVALON.NS       | Price: 1639.50 | Entry: 1606.71 | Target: 2099.50 | Risk: LOW       
  SURYAROSNI.NS   | Price:  249.95 | Entry:  244.95 | Target:  319.89 | Risk: LOW       
  UTLSOLAR.NS     | Price:  314.25 | Entry:  307.96 | Target:  416.12 | Risk: LOW       
  VMART.NS        | Price:  690.95 | Entry:  677.13 | Target:  792.82 | Risk: LOW       
  SWSOLAR.NS      | Price:  200.94 | Entry:  196.92 | Target:  241.52 | Risk: LOW       
  VIPIND.NS       | Price:  316.25 | Entry:  309.93 | Target:  384.68 | Risk: LOW       
  SUPRIYA.NS      | Price:  962.90 | Entry:  943.64 | Target: 1277.69 | Risk: LOW       
  PARAS.NS        | Price: 1039.15 | Entry: 1018.37 | Target: 1299.13 | Risk: LOW       
  SAATVIKGL.NS    | Price:  468.40 | Entry:  459.03 | Target:  561.65 | Risk: LOW       
  EMUDHRA.NS      | Price:  483.35 | Entry:  473.68 | Target:  556.90 | Risk: LOW       
  SKIPPER.NS      | Price:  544.55 | Entry:  533.66 | Target:  667.64 | Risk: LOW       
  STLTECH.NS      | Price:  613.00 | Entry:  600.74 | Target:  761.36 | Risk: LOW       
  ICIL.NS         | Price:  336.50 | Entry:  329.77 | Target:  413.77 | Risk: LOW       
  SHOPERSTOP.NS   | Price:  353.05 | Entry:  345.99 | Target:  414.50 | Risk: LOW       
  FIEMIND.NS      | Price: 2297.80 | Entry: 2251.84 | Target: 2635.98 | Risk: LOW       
  TVSSCS.NS       | Price:  128.47 | Entry:   125.9 | Target:  155.17 | Risk: LOW       
  LXCHEM.NS       | Price:  155.54 | Entry:  152.43 | Target:  190.34 | Risk: LOW       
  AGI.NS          | Price:  618.50 | Entry:  606.13 | Target:  714.36 | Risk: LOW       
  UNIMECH.NS      | Price: 1149.75 | Entry: 1126.75 | Target: 1390.00 | Risk: LOW       
  E2E.NS          | Price:  408.80 | Entry:  400.62 | Target:  521.35 | Risk: LOW       
  GOKULAGRO.NS    | Price:  233.90 | Entry:  229.22 | Target:  281.65 | Risk: LOW       
  OPTIEMUS.NS     | Price:  426.90 | Entry:  418.36 | Target:  533.70 | Risk: LOW       
  KRN.NS          | Price: 1232.00 | Entry: 1207.36 | Target: 1538.39 | Risk: LOW       
  DATAMATICS.NS   | Price:  776.25 | Entry:  760.73 | Target:  960.98 | Risk: LOW       
  ROUTE.NS        | Price:  533.05 | Entry:  522.39 | Target:  611.01 | Risk: LOW       
  ITDC.NS         | Price:  593.90 | Entry:  582.02 | Target:  736.13 | Risk: LOW       
  SIS.NS          | Price:  421.20 | Entry:  412.78 | Target:  513.11 | Risk: LOW       
  PDSL.NS         | Price:  306.00 | Entry:  299.88 | Target:  362.63 | Risk: LOW       
  HCC.NS          | Price:   23.42 | Entry:   22.95 | Target:   29.17 | Risk: LOW       
  GREAVESCOT.NS   | Price:  190.23 | Entry:  186.43 | Target:  223.13 | Risk: LOW       
  SKYGOLD.NS      | Price:  513.05 | Entry:  502.79 | Target:  663.46 | Risk: LOW       
  REFEX.NS        | Price:  309.25 | Entry:  303.06 | Target:  388.29 | Risk: LOW       
  INNOVACAP.NS    | Price:  914.70 | Entry:  896.41 | Target: 1081.59 | Risk: LOW       
  NEPHROPLUS.NS   | Price:  709.25 | Entry:  695.06 | Target:  856.41 | Risk: LOW       
  BALAMINES.NS    | Price: 2242.10 | Entry: 2197.26 | Target: 2895.85 | Risk: LOW       
  NACLIND.NS      | Price:  171.42 | Entry:  167.99 | Target:  214.04 | Risk: LOW       
  SJS.NS          | Price: 2078.20 | Entry: 2036.64 | Target: 2438.95 | Risk: LOW       
  RAIN.NS         | Price:  203.97 | Entry:  199.89 | Target:  256.68 | Risk: LOW       
  CEIGALL.NS      | Price:  366.40 | Entry:  359.07 | Target:  449.58 | Risk: LOW       
  SGMART.NS       | Price:  619.40 | Entry:  607.01 | Target:  718.61 | Risk: LOW       
  GUJTHEM.NS      | Price:  401.15 | Entry:  393.13 | Target:  521.72 | Risk: LOW       
  RBA.NS          | Price:   68.71 | Entry:   67.34 | Target:   73.72 | Risk: LOW       
  NORTHARC.NS     | Price:  299.95 | Entry:  293.95 | Target:  363.74 | Risk: LOW       
  MOSCHIP.NS      | Price:  214.11 | Entry:  209.83 | Target:  266.11 | Risk: LOW       
  GOLDIAM.NS      | Price:  434.45 | Entry:  425.76 | Target:  532.11 | Risk: LOW       
  63MOONS.NS      | Price:  652.45 | Entry:   639.4 | Target:  784.24 | Risk: LOW       
  CAMLINFINE.NS   | Price:  133.05 | Entry:  130.39 | Target:  171.05 | Risk: LOW       
  UFLEX.NS        | Price:  417.10 | Entry:  408.76 | Target:  496.08 | Risk: LOW       
  ORCHPHARMA.NS   | Price:  859.80 | Entry:   842.6 | Target: 1062.19 | Risk: LOW       
  MPSLTD.NS       | Price: 1842.30 | Entry: 1805.45 | Target: 2209.19 | Risk: LOW       
  TRUALT.NS       | Price:  531.95 | Entry:  521.31 | Target:  650.93 | Risk: LOW       
  VADILALIND.NS   | Price: 5757.60 | Entry: 5642.45 | Target: 7002.24 | Risk: LOW       
  QUESS.NS        | Price:  237.17 | Entry:  232.43 | Target:  283.77 | Risk: LOW       
  GREENPLY.NS     | Price:  288.68 | Entry:  282.91 | Target:  342.17 | Risk: LOW       
  NEOGEN.NS       | Price: 1938.80 | Entry: 1900.02 | Target: 2367.87 | Risk: LOW       
  NPST.NS         | Price: 1572.80 | Entry: 1541.34 | Target: 2073.23 | Risk: LOW       
  CENTUM.NS       | Price: 3355.20 | Entry:  3288.1 | Target: 4247.27 | Risk: LOW       
  GOCOLORS.NS     | Price:  391.00 | Entry:  383.18 | Target:  549.02 | Risk: LOW       
  GKENERGY.NS     | Price:  141.27 | Entry:  138.44 | Target:  173.07 | Risk: LOW       
  INDOSTAR.NS     | Price:  253.59 | Entry:  248.52 | Target:  327.60 | Risk: LOW       
  GUFICBIO.NS     | Price:  386.80 | Entry:  379.06 | Target:  479.12 | Risk: LOW       
  UNICHEMLAB.NS   | Price:  379.65 | Entry:  372.06 | Target:  458.81 | Risk: LOW       
  MSTCLTD.NS      | Price:  544.95 | Entry:  534.05 | Target:  669.38 | Risk: LOW       
  CYIENTDLM.NS    | Price:  443.65 | Entry:  434.78 | Target:  530.04 | Risk: LOW       
  RPEL.NS         | Price: 1170.50 | Entry: 1147.09 | Target: 1421.68 | Risk: LOW       
  PRINCEPIPE.NS   | Price:  283.20 | Entry:  277.54 | Target:  338.86 | Risk: LOW       
  SSWL.NS         | Price:  234.60 | Entry:  229.91 | Target:  286.29 | Risk: LOW       
  BHAGCHEM.NS     | Price:  257.89 | Entry:  252.73 | Target:  314.69 | Risk: LOW       
  BAJAJCON.NS     | Price:  582.20 | Entry:  570.56 | Target:  701.27 | Risk: LOW       
  BBL.NS          | Price: 2851.50 | Entry: 2794.47 | Target: 3286.54 | Risk: LOW       
  BOMDYEING.NS    | Price:  128.19 | Entry:  125.63 | Target:  151.61 | Risk: LOW       
  SWANDEF.NS      | Price: 1996.80 | Entry: 1956.86 | Target: 2430.55 | Risk: LOW       
  PARAGMILK.NS    | Price:  243.41 | Entry:  238.54 | Target:  287.31 | Risk: LOW       
  HLEGLAS.NS      | Price:  371.85 | Entry:  364.41 | Target:  471.53 | Risk: LOW       
  KIRIINDUS.NS    | Price:  406.50 | Entry:  398.37 | Target:  482.12 | Risk: LOW       
  PSPPROJECT.NS   | Price:  917.70 | Entry:  899.35 | Target: 1153.77 | Risk: LOW       
  STYLAMIND.NS    | Price: 3103.50 | Entry: 3041.43 | Target: 3642.00 | Risk: LOW       
  GATEWAY.NS      | Price:   57.97 | Entry:   56.81 | Target:   64.46 | Risk: LOW       
  JASH.NS         | Price:  446.85 | Entry:  437.91 | Target:  547.06 | Risk: LOW       
  PAISALO.NS      | Price:   60.18 | Entry:   58.98 | Target:   72.23 | Risk: LOW       
  DDEVPLSTIK.NS   | Price:  253.16 | Entry:   248.1 | Target:  305.65 | Risk: LOW       
  KDDL.NS         | Price: 3014.10 | Entry: 2953.82 | Target: 3796.67 | Risk: LOW       
